task,model,split,label,precision,recall,f1_score,support
topic,tfidf_word_svm,test,training_program,0.6722817764165391,0.7674825174825175,0.7167346938775511,572.0
topic,tfidf_word_svm,test,facility,0.9054054054054054,0.9241379310344827,0.9146757679180887,145.0
topic,tfidf_word_svm,test,others,0.4788732394366197,0.4276729559748428,0.45182724252491696,159.0
topic,tfidf_word_svm,test,accuracy,,,0.8584965255843335,
topic,tfidf_word_svm,test,macro avg,0.7477208520532824,0.7565700760137904,0.7509224329491841,3166.0
topic,tfidf_word_svm,test,weighted avg,0.862782515821359,0.8584965255843335,0.8598470959343006,3166.0
topic,tfidf_char_svm,validation,lecturer,0.9373831775700935,0.8714161598609904,0.9031967582170194,1151.0
topic,tfidf_char_svm,validation,training_program,0.6382978723404256,0.7865168539325843,0.7046979865771812,267.0
topic,tfidf_char_svm,validation,facility,0.8289473684210527,0.9,0.863013698630137,70.0
topic,tfidf_char_svm,validation,others,0.4166666666666667,0.47368421052631576,0.4433497536945813,95.0
topic,tfidf_char_svm,validation,accuracy,,,0.8344914718888187,
topic,tfidf_char_svm,validation,macro avg,0.7053237712495596,0.7579043060799726,0.7285645492797297,1583.0
topic,tfidf_char_svm,validation,weighted avg,0.850892746949386,0.8344914718888187,0.8403430300878026,1583.0
topic,tfidf_char_svm,test,lecturer,0.9365079365079365,0.8759825327510917,0.9052346570397112,2290.0
topic,tfidf_char_svm,test,training_program,0.6344086021505376,0.722027972027972,0.6753883892068684,572.0
topic,tfidf_char_svm,test,facility,0.8580645161290322,0.9172413793103448,0.8866666666666667,145.0
topic,tfidf_char_svm,test,others,0.39908256880733944,0.5471698113207547,0.46153846153846156,159.0
topic,tfidf_char_svm,test,accuracy,,,0.8335439039797852,
topic,tfidf_char_svm,test,macro avg,0.7070159058987114,0.7656054238525408,0.732207043612927,3166.0
topic,tfidf_char_svm,test,weighted avg,0.8513450342111052,0.8335439039797852,0.8405751122231676,3166.0
